ts	perm	script	gates	verify	wall_sec
2026-04-25T18:52:06	0,1,2,3,4,5,6,7	fast	89	OK	0.25
2026-04-25T18:52:06	0,1,2,3,4,6,5,7	fast	103	OK	0.25
2026-04-25T18:52:06	0,1,2,3,4,5,7,6	fast	97	OK	0.25
2026-04-25T18:52:06	0,1,2,3,4,6,7,5	fast	124	OK	0.24
2026-04-25T18:52:07	0,1,2,3,5,4,7,6	fast	98	OK	0.16
2026-04-25T18:52:07	0,1,2,3,5,4,6,7	fast	101	OK	0.17
2026-04-25T18:52:07	0,1,2,3,4,7,5,6	fast	101	OK	0.17
2026-04-25T18:52:07	0,1,2,3,4,7,6,5	fast	100	OK	0.17
2026-04-25T18:52:07	0,1,2,3,5,6,7,4	fast	95	OK	0.18
2026-04-25T18:52:07	0,1,2,3,5,7,4,6	fast	102	OK	0.18
2026-04-25T18:52:07	0,1,2,3,5,6,4,7	fast	105	OK	0.18
2026-04-25T18:52:07	0,1,2,3,5,7,6,4	fast	117	OK	0.18
2026-04-25T18:52:07	0,1,2,3,6,5,4,7	fast	111	OK	0.17
2026-04-25T18:52:07	0,1,2,3,6,4,7,5	fast	101	OK	0.18
2026-04-25T18:52:07	0,1,2,3,6,5,7,4	fast	100	OK	0.17
2026-04-25T18:52:07	0,1,2,3,6,4,5,7	fast	116	OK	0.18
2026-04-25T18:52:07	0,1,2,3,6,7,4,5	fast	78	OK	0.17
2026-04-25T18:52:07	0,1,2,3,6,7,5,4	fast	101	OK	0.17
2026-04-25T18:52:07	0,1,2,3,7,4,5,6	fast	118	OK	0.16
2026-04-25T18:52:07	0,1,2,3,7,4,6,5	fast	102	OK	0.17
2026-04-25T18:52:07	0,1,2,3,7,5,4,6	fast	121	OK	0.18
2026-04-25T18:52:07	0,1,2,3,7,5,6,4	fast	97	OK	0.17
2026-04-25T18:52:07	0,1,2,3,7,6,5,4	fast	98	OK	0.16
2026-04-25T18:52:07	0,1,2,3,7,6,4,5	fast	93	OK	0.17
2026-04-25T18:52:08	0,1,2,4,3,6,5,7	fast	108	OK	0.17
2026-04-25T18:52:08	0,1,2,4,3,5,6,7	fast	111	OK	0.17
2026-04-25T18:52:08	0,1,2,4,3,6,7,5	fast	115	OK	0.17
2026-04-25T18:52:08	0,1,2,4,3,5,7,6	fast	108	OK	0.18
2026-04-25T18:52:08	0,1,2,4,3,7,6,5	fast	110	OK	0.17
2026-04-25T18:52:08	0,1,2,4,5,3,6,7	fast	119	OK	0.17
2026-04-25T18:52:08	0,1,2,4,5,3,7,6	fast	117	OK	0.17
