ts	perm	script	gates	verify	wall_sec
2026-04-25T17:15:22	0,6,5,7,4,2,3,1	fast	113	OK	0.17
2026-04-25T17:15:22	0,6,5,7,4,3,1,2	fast	120	OK	0.17
2026-04-25T17:15:22	0,6,5,7,4,3,2,1	fast	118	OK	0.20
2026-04-25T17:15:22	0,6,7,1,2,3,5,4	fast	107	OK	0.18
2026-04-25T17:15:22	0,6,7,1,2,3,4,5	fast	118	OK	0.20
2026-04-25T17:15:22	0,6,7,1,2,4,3,5	fast	90	OK	0.18
2026-04-25T17:15:22	0,6,7,1,2,4,5,3	fast	98	OK	0.18
2026-04-25T17:15:22	0,6,7,1,2,5,4,3	fast	110	OK	0.17
2026-04-25T17:15:22	0,6,7,1,2,5,3,4	fast	120	OK	0.19
2026-04-25T17:15:23	0,6,7,1,3,2,4,5	fast	118	OK	0.19
2026-04-25T17:15:23	0,6,7,1,3,2,5,4	fast	106	OK	0.18
2026-04-25T17:15:23	0,6,7,1,3,4,2,5	fast	102	OK	0.18
2026-04-25T17:15:23	0,6,7,1,3,4,5,2	fast	110	OK	0.18
2026-04-25T17:15:23	0,6,7,1,3,5,2,4	fast	102	OK	0.18
2026-04-25T17:15:23	0,6,7,1,3,5,4,2	fast	102	OK	0.17
2026-04-25T17:15:23	0,6,7,1,4,2,3,5	fast	98	OK	0.17
2026-04-25T17:15:23	0,6,7,1,4,2,5,3	fast	92	OK	0.17
2026-04-25T17:15:23	0,6,7,1,4,3,2,5	fast	106	OK	0.17
2026-04-25T17:15:23	0,6,7,1,4,3,5,2	fast	107	OK	0.18
2026-04-25T17:15:23	0,6,7,1,4,5,3,2	fast	108	OK	0.21
2026-04-25T17:15:23	0,6,7,1,4,5,2,3	fast	109	OK	0.23
2026-04-25T17:15:23	0,6,7,1,5,2,3,4	fast	105	OK	0.21
2026-04-25T17:15:23	0,6,7,1,5,2,4,3	fast	105	OK	0.18
2026-04-25T17:15:23	0,6,7,1,5,3,2,4	fast	101	OK	0.18
2026-04-25T17:15:23	0,6,7,1,5,3,4,2	fast	102	OK	0.18
2026-04-25T17:15:23	0,6,7,1,5,4,2,3	fast	103	OK	0.18
2026-04-25T17:15:23	0,6,7,1,5,4,3,2	fast	105	OK	0.18
2026-04-25T17:15:24	0,6,7,2,1,3,5,4	fast	102	OK	0.18
2026-04-25T17:15:24	0,6,7,2,1,3,4,5	fast	118	OK	0.21
2026-04-25T17:15:24	0,6,7,2,1,4,5,3	fast	109	OK	0.18
2026-04-25T17:15:24	0,6,7,2,1,4,3,5	fast	123	OK	0.20
2026-04-25T17:15:24	0,6,7,2,1,5,3,4	fast	117	OK	0.21
2026-04-25T17:15:24	0,6,7,2,1,5,4,3	fast	100	OK	0.20
2026-04-25T17:15:24	0,6,7,2,3,1,5,4	fast	113	OK	0.20
2026-04-25T17:15:24	0,6,7,2,3,1,4,5	fast	114	OK	0.21
2026-04-25T17:15:24	0,6,7,2,3,4,5,1	fast	110	OK	0.17
2026-04-25T17:15:24	0,6,7,2,3,4,1,5	fast	124	OK	0.18
2026-04-25T17:15:24	0,6,7,2,3,5,4,1	fast	108	OK	0.17
2026-04-25T17:15:24	0,6,7,2,3,5,1,4	fast	117	OK	0.17
2026-04-25T17:15:24	0,6,7,2,4,1,3,5	fast	107	OK	0.19
2026-04-25T17:15:24	0,6,7,2,4,1,5,3	fast	115	OK	0.18
2026-04-25T17:15:24	0,6,7,2,4,3,5,1	fast	115	OK	0.16
2026-04-25T17:15:24	0,6,7,2,4,3,1,5	fast	111	OK	0.19
2026-04-25T17:15:25	0,6,7,2,4,5,3,1	fast	113	OK	0.17
2026-04-25T17:15:25	0,6,7,2,4,5,1,3	fast	114	OK	0.19
2026-04-25T17:15:25	0,6,7,2,5,1,3,4	fast	118	OK	0.17
2026-04-25T17:15:25	0,6,7,2,5,1,4,3	fast	118	OK	0.17
2026-04-25T17:15:25	0,6,7,2,5,3,1,4	fast	120	OK	0.18
2026-04-25T17:15:25	0,6,7,2,5,3,4,1	fast	113	OK	0.18
2026-04-25T17:15:25	0,6,7,2,5,4,1,3	fast	120	OK	0.18
2026-04-25T17:15:25	0,6,7,2,5,4,3,1	fast	133	OK	0.18
2026-04-25T17:15:25	0,6,7,3,1,2,4,5	fast	117	OK	0.21
2026-04-25T17:15:25	0,6,7,3,1,2,5,4	fast	111	OK	0.19
2026-04-25T17:15:25	0,6,7,3,1,4,2,5	fast	100	OK	0.20
2026-04-25T17:15:25	0,6,7,3,1,4,5,2	fast	110	OK	0.18
2026-04-25T17:15:25	0,6,7,3,1,5,2,4	fast	106	OK	0.18
2026-04-25T17:15:25	0,6,7,3,1,5,4,2	fast	101	OK	0.17
2026-04-25T17:15:25	0,6,7,3,2,1,5,4	fast	109	OK	0.18
2026-04-25T17:15:25	0,6,7,3,2,1,4,5	fast	111	OK	0.20
2026-04-25T17:15:25	0,6,7,3,2,4,5,1	fast	101	OK	0.17
2026-04-25T17:15:25	0,6,7,3,2,4,1,5	fast	120	OK	0.18
2026-04-25T17:15:26	0,6,7,3,2,5,1,4	fast	118	OK	0.18
2026-04-25T17:15:26	0,6,7,3,2,5,4,1	fast	115	OK	0.18
2026-04-25T17:15:26	0,6,7,3,4,1,5,2	fast	114	OK	0.18
2026-04-25T17:15:26	0,6,7,3,4,1,2,5	fast	120	OK	0.21
2026-04-25T17:15:26	0,6,7,3,4,2,1,5	fast	110	OK	0.18
2026-04-25T17:15:26	0,6,7,3,4,2,5,1	fast	107	OK	0.17
2026-04-25T17:15:26	0,6,7,3,4,5,1,2	fast	109	OK	0.18
2026-04-25T17:15:26	0,6,7,3,4,5,2,1	fast	118	OK	0.18
2026-04-25T17:15:26	0,6,7,3,5,1,2,4	fast	112	OK	0.18
2026-04-25T17:15:26	0,6,7,3,5,1,4,2	fast	115	OK	0.17
2026-04-25T17:15:26	0,6,7,3,5,2,1,4	fast	118	OK	0.18
2026-04-25T17:15:26	0,6,7,3,5,2,4,1	fast	113	OK	0.18
2026-04-25T17:15:26	0,6,7,3,5,4,2,1	fast	115	OK	0.18
2026-04-25T17:15:26	0,6,7,3,5,4,1,2	fast	111	OK	0.18
2026-04-25T17:15:26	0,6,7,4,1,2,3,5	fast	113	OK	0.18
2026-04-25T17:15:26	0,6,7,4,1,3,2,5	fast	106	OK	0.17
2026-04-25T17:15:26	0,6,7,4,1,3,5,2	fast	116	OK	0.18
2026-04-25T17:15:26	0,6,7,4,1,2,5,3	fast	120	OK	0.20
2026-04-25T17:15:27	0,6,7,4,1,5,2,3	fast	113	OK	0.21
2026-04-25T17:15:27	0,6,7,4,1,5,3,2	fast	118	OK	0.19
2026-04-25T17:15:27	0,6,7,4,2,1,3,5	fast	114	OK	0.21
2026-04-25T17:15:27	0,6,7,4,2,1,5,3	fast	115	OK	0.20
2026-04-25T17:15:27	0,6,7,4,2,3,5,1	fast	114	OK	0.18
2026-04-25T17:15:27	0,6,7,4,2,3,1,5	fast	117	OK	0.20
2026-04-25T17:15:27	0,6,7,4,2,5,3,1	fast	124	OK	0.18
2026-04-25T17:15:27	0,6,7,4,2,5,1,3	fast	116	OK	0.21
2026-04-25T17:15:27	0,6,7,4,3,1,2,5	fast	112	OK	0.18
2026-04-25T17:15:27	0,6,7,4,3,1,5,2	fast	110	OK	0.18
