ts	name	script	perm	status	gates	wall_sec	blif_path	notes
2026-04-25T16:21:46	ss_(0, 1, 2, 4, 5, 3, 7, 6)	fast	0,0.5,1,2,3,1.5,6,4,-0,-0.5,-1,-2,-3,-1.5,-6,-4	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 5, 3, 7, 6).blif	
2026-04-25T16:21:46	ss_(0, 1, 2, 4, 5, 6, 3, 7)	fast	0,0.5,1,2,3,4,1.5,6,-0,-0.5,-1,-2,-3,-4,-1.5,-6	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 5, 6, 3, 7).blif	
2026-04-25T16:21:47	ss_(0, 1, 2, 4, 5, 6, 7, 3)	fast	0,0.5,1,2,3,4,6,1.5,-0,-0.5,-1,-2,-3,-4,-6,-1.5	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 5, 6, 7, 3).blif	
2026-04-25T16:21:47	ss_(0, 1, 2, 4, 5, 7, 3, 6)	fast	0,0.5,1,2,3,6,1.5,4,-0,-0.5,-1,-2,-3,-6,-1.5,-4	ok	238	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 5, 7, 3, 6).blif	
2026-04-25T16:21:47	ss_(0, 1, 2, 4, 5, 7, 6, 3)	fast	0,0.5,1,2,3,6,4,1.5,-0,-0.5,-1,-2,-3,-6,-4,-1.5	ok	228	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 5, 7, 6, 3).blif	
2026-04-25T16:21:47	ss_(0, 1, 2, 4, 6, 3, 5, 7)	fast	0,0.5,1,2,4,1.5,3,6,-0,-0.5,-1,-2,-4,-1.5,-3,-6	ok	213	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 3, 5, 7).blif	
2026-04-25T16:21:48	ss_(0, 1, 2, 4, 6, 3, 7, 5)	fast	0,0.5,1,2,4,1.5,6,3,-0,-0.5,-1,-2,-4,-1.5,-6,-3	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 3, 7, 5).blif	
2026-04-25T16:21:48	ss_(0, 1, 2, 4, 6, 5, 3, 7)	fast	0,0.5,1,2,4,3,1.5,6,-0,-0.5,-1,-2,-4,-3,-1.5,-6	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 5, 3, 7).blif	
2026-04-25T16:21:48	ss_(0, 1, 2, 4, 6, 5, 7, 3)	fast	0,0.5,1,2,4,3,6,1.5,-0,-0.5,-1,-2,-4,-3,-6,-1.5	ok	238	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 5, 7, 3).blif	
2026-04-25T16:21:49	ss_(0, 1, 2, 4, 6, 7, 3, 5)	fast	0,0.5,1,2,4,6,1.5,3,-0,-0.5,-1,-2,-4,-6,-1.5,-3	ok	218	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 7, 3, 5).blif	
2026-04-25T16:21:49	ss_(0, 1, 2, 4, 6, 7, 5, 3)	fast	0,0.5,1,2,4,6,3,1.5,-0,-0.5,-1,-2,-4,-6,-3,-1.5	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 6, 7, 5, 3).blif	
2026-04-25T16:21:49	ss_(0, 1, 2, 4, 7, 3, 5, 6)	fast	0,0.5,1,2,6,1.5,3,4,-0,-0.5,-1,-2,-6,-1.5,-3,-4	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 3, 5, 6).blif	
2026-04-25T16:21:49	ss_(0, 1, 2, 4, 7, 3, 6, 5)	fast	0,0.5,1,2,6,1.5,4,3,-0,-0.5,-1,-2,-6,-1.5,-4,-3	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 3, 6, 5).blif	
2026-04-25T16:21:50	ss_(0, 1, 2, 4, 7, 5, 3, 6)	fast	0,0.5,1,2,6,3,1.5,4,-0,-0.5,-1,-2,-6,-3,-1.5,-4	ok	238	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 5, 3, 6).blif	
2026-04-25T16:21:50	ss_(0, 1, 2, 4, 7, 5, 6, 3)	fast	0,0.5,1,2,6,3,4,1.5,-0,-0.5,-1,-2,-6,-3,-4,-1.5	ok	212	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 5, 6, 3).blif	
