ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
20:30:42	loc0	6	13371337	64	59	66	OK
20:30:42	loc0	6	1	64	58	65	OK
20:30:43	loc0	6	7777	64	59	68	OK
20:30:44	loc0	6	42	64	59	68	OK
20:32:12	loc0	6	1024	64	58	64	OK
20:32:13	loc0	6	99	64	59	68	OK
20:32:14	loc0	6	31415	64	59	67	OK
20:32:17	loc0	6	2718	64	59	66	OK
20:33:46	loc0	8	1	64	63	65	OK
20:34:13	loc0	8	42	None	None	?	FAIL
20:34:14	loc0	8	7777	None	None	?	FAIL
20:34:17	loc0	8	13371337	None	None	?	FAIL
20:35:34	loc0	8	99	64	63	66	OK
20:36:13	loc0	8	1024	None	None	?	FAIL
20:36:14	loc0	8	31415	None	None	?	FAIL
20:36:17	loc0	8	2718	None	None	?	FAIL
20:37:05	loc1	6	1	65	59	71	OK
20:37:44	loc1	6	42	65	59	66	OK
20:37:45	loc1	6	7777	65	58	66	OK
20:37:48	loc1	6	13371337	65	58	65	OK
20:38:36	loc1	6	99	65	58	65	OK
20:39:14	loc1	6	1024	65	60	67	OK
20:39:15	loc1	6	31415	65	59	68	OK
20:39:19	loc1	6	2718	65	59	69	OK
20:40:20	loc1	8	1	65	62	65	OK
20:40:51	loc1	8	42	65	64	65	OK
20:41:02	loc1	8	13371337	65	65	65	OK
20:41:15	loc1	8	7777	None	None	?	FAIL
20:41:55	loc1	8	99	65	63	69	OK
20:42:35	loc1	8	1024	65	63	65	OK
20:43:01	loc1	8	2718	65	60	66	OK
20:43:02	loc1	8	31415	None	None	?	FAIL
20:43:25	loc2	6	1	65	59	67	OK
20:44:05	loc2	6	42	65	59	67	OK
20:44:33	loc2	6	13371337	65	59	68	OK
20:44:38	loc2	6	7777	65	59	65	OK
20:44:59	loc2	6	99	65	58	64	OK
20:45:36	loc2	6	1024	65	59	66	OK
20:46:05	loc2	6	31415	65	59	67	OK
20:46:10	loc2	6	2718	65	59	66	OK
20:46:59	loc2	8	1	None	None	?	FAIL
20:47:36	loc2	8	42	None	None	?	FAIL
20:48:05	loc2	8	7777	None	None	?	FAIL
20:48:10	loc2	8	13371337	None	None	?	FAIL
20:48:59	loc2	8	99	None	None	?	FAIL
20:49:36	loc2	8	1024	None	None	?	FAIL
20:50:05	loc2	8	31415	None	None	?	FAIL
20:50:10	loc2	8	2718	None	None	?	FAIL
20:50:31	loc3	6	1	65	59	65	OK
20:51:07	loc3	6	42	65	59	65	OK
20:51:36	loc3	6	7777	65	59	67	OK
20:51:43	loc3	6	13371337	65	60	70	OK
20:52:07	loc3	6	99	65	60	69	OK
20:52:39	loc3	6	1024	65	59	66	OK
20:53:11	loc3	6	31415	65	59	68	OK
20:53:14	loc3	6	2718	65	62	66	OK
