ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
20:27:18	loc10	6	13371337	65	58	65	OK
20:27:27	loc10	6	99	65	60	66	OK
20:27:31	loc10	6	1024	65	60	65	OK
20:27:51	loc10	8	7777	65	63	65	OK
20:28:02	loc10	8	1	None	None	?	FAIL
20:28:14	loc10	8	42	None	None	?	FAIL
20:28:25	loc10	8	13371337	None	None	?	FAIL
20:28:30	loc11	6	1	65	58	65	OK
20:28:30	loc10	8	1024	65	64	65	OK
20:28:35	loc11	6	42	65	59	67	OK
20:28:39	loc10	8	99	None	None	?	FAIL
20:28:52	loc11	6	7777	65	58	64	OK
20:29:05	loc11	6	13371337	65	58	65	OK
20:29:17	loc11	6	99	65	58	65	OK
20:29:26	loc11	6	1024	65	58	64	OK
20:29:31	loc11	8	1	65	62	66	OK
20:30:00	loc11	8	42	None	None	?	FAIL
20:30:04	loc11	8	7777	65	64	65	OK
20:30:10	loc11	8	13371337	None	None	?	FAIL
20:30:22	loc11	8	99	None	None	?	FAIL
20:30:35	loc11	8	1024	None	None	?	FAIL
