ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
05:59:37	loc7	6	7777	64	58	66	OK
06:01:07	loc7	6	13371337	64	58	66	OK
06:02:37	loc7	6	99	64	58	67	OK
06:04:09	loc7	6	1024	64	58	65	OK
06:05:39	loc7	6	31415	64	59	68	OK
06:07:11	loc7	6	2718	64	58	66	OK
06:08:56	loc7	8	1	64	62	65	OK
06:10:56	loc7	8	42	None	None	?	FAIL
06:12:36	loc7	8	7777	64	62	64	OK
06:14:07	loc7	8	13371337	64	63	64	OK
06:15:48	loc7	8	99	64	63	64	OK
06:17:22	loc7	8	1024	64	63	66	OK
06:19:22	loc7	8	31415	None	None	?	FAIL
06:21:12	loc7	8	2718	64	62	65	OK
06:22:43	loc8	6	1	64	58	66	OK
06:24:14	loc8	6	42	64	58	66	OK
06:25:44	loc8	6	7777	64	58	66	OK
06:27:14	loc8	6	13371337	64	58	66	OK
06:28:44	loc8	6	99	64	59	66	OK
06:30:14	loc8	6	1024	64	59	65	OK
06:31:45	loc8	6	31415	64	58	67	OK
06:33:16	loc8	6	2718	64	58	65	OK
06:34:47	loc8	8	1	64	61	64	OK
06:36:47	loc8	8	42	None	None	?	FAIL
06:38:46	loc8	8	7777	64	61	64	OK
06:40:46	loc8	8	13371337	None	None	?	FAIL
06:42:46	loc8	8	99	64	59	65	OK
06:44:46	loc8	8	1024	None	None	?	FAIL
06:46:46	loc8	8	31415	None	None	?	FAIL
06:48:46	loc8	8	2718	None	None	?	FAIL
06:50:16	loc9	6	1	63	58	66	OK
06:51:47	loc9	6	42	63	58	66	OK
06:53:17	loc9	6	7777	63	58	68	OK
06:54:48	loc9	6	13371337	63	58	66	OK
06:56:18	loc9	6	99	63	58	64	OK
06:57:49	loc9	6	1024	63	58	65	OK
06:59:19	loc9	6	31415	63	58	66	OK
07:00:49	loc9	6	2718	63	58	66	OK
07:02:32	loc9	8	1	63	60	65	OK
07:04:17	loc9	8	42	63	62	63	OK
07:06:17	loc9	8	7777	None	None	?	FAIL
07:07:57	loc9	8	13371337	63	59	64	OK
07:09:57	loc9	8	99	None	None	?	FAIL
07:11:57	loc9	8	1024	None	None	?	FAIL
07:13:57	loc9	8	31415	None	None	?	FAIL
07:15:45	loc9	8	2718	63	61	64	OK
07:17:16	loc10	6	1	64	58	65	OK
07:18:46	loc10	6	42	64	58	65	OK
07:20:17	loc10	6	7777	64	58	65	OK
07:21:47	loc10	6	13371337	64	58	65	OK
07:23:17	loc10	6	99	64	58	64	OK
07:24:47	loc10	6	1024	64	58	65	OK
07:26:18	loc10	6	31415	64	58	65	OK
07:27:49	loc10	6	2718	64	58	65	OK
07:29:23	loc10	8	1	64	62	66	OK
07:31:15	loc10	8	42	64	63	64	OK
07:32:52	loc10	8	7777	64	63	65	OK
07:34:34	loc10	8	13371337	64	63	64	OK
07:36:28	loc10	8	99	64	60	65	OK
07:38:04	loc10	8	1024	64	64	64	OK
07:40:04	loc10	8	31415	None	None	?	FAIL
