ts	size	seed	init_internal	final_internal	contest_cells	ok
21:12:56	6	7777	64	59	66	OK
21:12:57	6	1	64	58	65	OK
21:12:58	6	42	64	58	65	OK
21:16:01	6	13371337	64	58	67	OK
21:16:02	6	1024	64	58	65	OK
21:16:05	6	99	64	59	65	OK
21:19:04	6	31415	64	60	65	OK
21:19:08	6	2718	64	58	64	OK
21:19:15	8	1	64	64	65	OK
21:22:28	8	7777	64	63	64	OK
21:22:34	8	42	None	None	?	FAIL
21:22:46	8	13371337	None	None	?	FAIL
