ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
21:11:28	nelim3_w_10	10	7777	None	None	?	FAIL
21:11:28	nelim3_w_10	10	99	None	None	?	FAIL
21:11:29	nelim3_w_10	10	13371337	None	None	?	FAIL
21:11:29	nelim3_w_10	10	31415	None	None	?	FAIL
21:11:29	nelim3_w_10	10	1024	None	None	?	FAIL
21:11:30	nelim_all5	6	1	None	None	?	FAIL
21:11:31	nelim3_w_10	10	2718	None	None	?	FAIL
21:11:32	nelim_all5	6	42	None	None	?	FAIL
21:11:32	nelim_all5	6	7777	None	None	?	FAIL
21:11:33	nelim_all5	6	13371337	None	None	?	FAIL
21:11:33	nelim_all5	6	99	None	None	?	FAIL
21:11:34	nelim_all5	6	1024	None	None	?	FAIL
21:11:34	nelim_all5	6	31415	None	None	?	FAIL
21:11:35	nelim_all5	6	2718	None	None	?	FAIL
21:11:35	nelim_all5	8	1	None	None	?	FAIL
21:11:36	nelim_all5	8	42	None	None	?	FAIL
21:11:36	nelim_all5	8	7777	None	None	?	FAIL
21:11:37	nelim_all5	8	99	None	None	?	FAIL
21:11:37	nelim_all5	8	13371337	None	None	?	FAIL
21:11:38	nelim_all5	8	1024	None	None	?	FAIL
21:11:38	nelim_all5	8	31415	None	None	?	FAIL
21:11:39	nelim_all5	8	2718	None	None	?	FAIL
21:11:40	nelim_all5	10	1	None	None	?	FAIL
21:11:41	nelim_all5	10	42	None	None	?	FAIL
21:11:41	nelim_all5	10	7777	None	None	?	FAIL
21:11:42	nelim_all5	10	13371337	None	None	?	FAIL
21:11:43	nelim_all5	10	99	None	None	?	FAIL
21:11:43	nelim_all5	10	1024	None	None	?	FAIL
21:11:44	nelim_all5	10	31415	None	None	?	FAIL
21:11:44	nelim_all5	10	2718	None	None	?	FAIL
21:20:13	nelim0_w_20	6	42	64	58	64	OK
21:20:15	nelim0_w_20	6	1	64	59	65	OK
21:22:18	nelim0_w_20	6	7777	64	59	64	OK
21:22:20	nelim0_w_20	6	13371337	64	59	64	OK
